sequence,task,topic,A,B,C,D,right
1,48 + 29 = … (77),Penjumlahan,77,79,78,76,A
1,65 + 18 = … (83),Penjumlahan,83,82,85,81,A
1,33-17 = … (16),Pengurangan,15,18,17,16,D
1,74-39 = … (35),Pengurangan,37,34,35,33,C
1,13x7 = … (91),Perkalian,91,90,93,89,A
1,26x2 = … (52),Perkalian,54,53,51,52,D
1,52 : 4 = … (13),Pembagian Habis,14,15,13,11,C
1,95 : 5 = … (19),Pembagian Habis,20,18,17,19,D
1,28 : 5 = … (5 sisa 3),Pembagian Sisa,6 sisa 2,4 sisa 2,5 sisa 3,6 sisa 4,C
1,88 : 6 = … (14 sisa 4),Pembagian Sisa,13 sisa 5,15 sisa 5,15 sisa 3,14 sisa 4,D
2,"59+15 = ... (74)
",Penjumlahan,75,72,74,76,C
2,42+19 = … (61),Penjumlahan,60,63,61,59,C
2,58-19 = … (39),Pengurangan,37,39,38,41,B
2,42-39 = … (3),Pengurangan,4,2,1,3,D
2,"15 X 3 = … (45)
",Perkalian,44,43,45,47,C
2,36 X 2 = … (72),Perkalian,74,73,70,72,D
2,"39 : 3 = … (13)
",Pembagian Habis,15,12,13,11,C
2,62 : 2 = … (31),Pembagian Habis,31,29,32,33,A
2,"87 : 9 = … (9 sisa 6)
",Pembagian Sisa,8 sisa 5,10 sisa 7,8 sisa 7,9 sisa 6,D
2,34 : 5 = … (6 sisa 4),Pembagian Sisa,7 sisa 5,6 sisa 4,5 sisa 3,7 sisa 3,B
3,"38 + 59 = … (97)
",Penjumlahan,97,98,96,95,A
3,75 + 19 = … (94),Penjumlahan,93,94,95,92,B
3,"65-39 = … (26)
",Pengurangan,27,28,26,24,C
3,84-39 = … (45),Pengurangan,43,47,44,45,D
3,"27 X 3 = … (81)
",Perkalian,79,81,80,82,B
3,19 X 4 = … (76),Perkalian,76,78,75,77,A
3,"72 : 9 = ... (8)
",Pembagian Habis,8,9,6,10,A
3,98 : 2 = ... (49),Pembagian Habis,48,51,49,50,C
3,"29 : 3 = ... (9 sisa 2)
",Pembagian Sisa,10 sisa 1,8 sisa 3,8 sisa 1,9 sisa 2,D
3,87 : 6 = ... (14 sisa 3),Pembagian Sisa,13 sisa 4,15 sisa 4,14 sisa 3,15 sisa 2,C
4,"59+18 = … (77)
",Penjumlahan,77,76,75,78,A
4,56+19 = … (75),Penjumlahan,77,75,73,74,B
4,"34-17 = … (17)
",Pengurangan,17,15,16,19,A
4,78-39 = … (39),Pengurangan,40,41,39,37,C
4,"14 x 6 = … (84)
",Perkalian,83,82,84,86,C
4,37 x 2 = … (74),Perkalian,75,74,76,73,B
4,"42 : 3 = … (14)
",Pembagian Habis,16,12,14,15,C
4,96 : 8 = … (12),Pembagian Habis,11,14,12,13,C
4,"59 : 9 = … (6 sisa 5)
",Pembagian Sisa,5 sisa 6,7 sisa 6,6 sisa 5,7 sisa 4,C
4,31 : 5 = … (6 sisa 1),Pembagian Sisa,6 sisa 1,7 sisa 0,7 sisa 2,5 sisa 2,A
5,"49+38 = … (87)
",Penjumlahan,87,89,88,86,A
5,36+29 = … (65),Penjumlahan,66,67,65,63,C
5,"94-58 = … (36)
",Pengurangan,35,34,37,36,D
5,51-29 = … (22),Pengurangan,20,23,24,22,D
5,"15 x 6 = … (90)
",Perkalian,92,90,88,91,B
5,23 x 4 = … (92),Perkalian,94,90,92,93,C
5,"44 : 3 = … (11)
",Pembagian Habis,13,11,10,12,B
5,56 : 3 = ... (28),Pembagian Habis,28,30,27,29,A
5,"88 : 9 = … (9 sisa 7)
",Pembagian Sisa,10 sisa 6,9 sisa 7,10 sisa 8,8 sisa 8,B
5,74 : 8 = … (9 sisa 2),Pembagian Sisa,10 sisa 3,10 sisa 1,8 sisa 1,9 sisa 2,D
6,"58+28 = … (86)
",Penjumlahan,84,88,86,85,C
6,47+16 = … (63),Penjumlahan,64,61,63,65,C
6,"43-14 = … (29)
",Pengurangan,29,28,27,31,A
6,77-49 = … (28),Pengurangan,26,28,30,29,B
6,"12 x 8 = … (96)
",Perkalian,96,95,97,94,A
6,26 x 2 = … (52),Perkalian,53,50,51,52,D
6,"51 : 3 = … (17)
",Pembagian Habis,18,17,19,16,B
6,98 : 7 = … (14),Pembagian Habis,12,14,13,16,B
6,"79 : 5 = … (15 sisa 4)
",Pembagian Sisa,15 sisa 4,14 sisa 3,14 sisa 5,16 sisa 5,A
6,41 : 6 = … (6 sisa 5),Pembagian Sisa,7 sisa 6,5 sisa 4,7 sisa 4,6 sisa 5,D
