sequence,task,topic,A,B,C,D,right
1,48 + 29,Penjumlahan,73,81,80,77,77
1,65 + 18,Penjumlahan,83,79,83,81,83
1,33-17,Pengurangan,13,16,11,12,16
1,74-39,Pengurangan,40,40,35,35,35
1,13x7,Perkalian,86,87,91,91,91
1,26x2,Perkalian,52,52,49,49,52
1,52 : 4,Pembagian Habis,12,15,13,18,13
1,95 : 5,Pembagian Habis,19,17,24,14,19
1,28 : 5,Pembagian Sisa,5 sisa 5,5 sisa 3,3 sisa 1,7 sisa 4,5 sisa 3
1,88 : 6,Pembagian Sisa,15 sisa 2,14 sisa 4,13 sisa 5,15 sisa 5,14 sisa 4
2,59+15,Penjumlahan,74,73,69,74,74
2,42+19,Penjumlahan,62,57,61,60,61
2,58-19,Pengurangan,42,39,39,44,39
2,42-39,Pengurangan,3,4,1,-2,3
2,15 X 3,Perkalian,45,45,40,42,45
2,36 X 2,Perkalian,67,77,72,77,72
2,39 : 3,Pembagian Habis,13,15,13,12,13
2,62 : 2,Pembagian Habis,33,31,28,34,31
2,87 : 9,Pembagian Sisa,7 sisa 3,11 sisa 3,8 sisa 1,9 sisa 6,9 sisa 6
2,34 : 5,Pembagian Sisa,4 sisa 4,8 sisa 2,6 sisa 4,5 sisa 2,6 sisa 4
3,38 + 59,Penjumlahan,100,101,97,92,97
3,75 + 19,Penjumlahan,93,94,96,94,94
3,65-39,Pengurangan,24,30,26,31,26
3,84-39,Pengurangan,41,41,45,41,45
3,27 X 3,Perkalian,77,80,82,81,81
3,19 X 4,Perkalian,71,74,76,72,76
3,72 : 9,Pembagian Habis,8,3,10,13,8
3,98 : 2,Pembagian Habis,44,49,48,44,49
3,29 : 3,Pembagian Sisa,7 sisa 2,9 sisa 2,11 sisa 2,9 sisa 5,9 sisa 2
3,87 : 6,Pembagian Sisa,16 sisa 3,14 sisa 3,16 sisa 5,12 sisa 1,14 sisa 3
4,59+18,Penjumlahan,78,82,77,74,77
4,56+19,Penjumlahan,79,78,74,75,75
4,34-17,Pengurangan,21,15,22,17,17
4,78-39,Pengurangan,39,34,41,39,39
4,14 x 6,Perkalian,81,84,82,79,84
4,37 x 2,Perkalian,75,74,71,74,74
4,42 : 3,Pembagian Habis,18,19,14,17,14
4,96 : 8,Pembagian Habis,12,17,15,11,12
4,59 : 9,Pembagian Sisa,5 sisa 4,6 sisa 5,5 sisa 4,4 sisa 1,6 sisa 5
4,31 : 5,Pembagian Sisa,7 sisa 4,6 sisa 1,7 sisa 4,6 sisa 4,6 sisa 1
5,49+38,Penjumlahan,87,82,90,82,87
5,36+29,Penjumlahan,65,64,63,60,65
5,94-58,Pengurangan,36,37,36,34,36
5,51-29,Pengurangan,25,22,27,25,22
5,15 x 6,Perkalian,90,91,94,92,90
5,23 x 4,Perkalian,92,87,91,94,92
5,44 : 3,Pembagian Habis,11,9,6,6,11
5,56 : 3,Pembagian Habis,31,24,33,28,28
5,88 : 9,Pembagian Sisa,9 sisa 7,7 sisa 3,7 sisa 3,10 sisa 1,9 sisa 7
5,74 : 8,Pembagian Sisa,9 sisa 2,9 sisa 4,11 sisa 3,10 sisa 4,9 sisa 2
6,58+28,Penjumlahan,85,86,86,83,86
6,47+16,Penjumlahan,59,63,59,66,63
6,43-14,Pengurangan,25,24,24,29,29
6,77-49,Pengurangan,28,30,25,27,28
6,12 x 8,Perkalian,99,93,99,96,96
6,26 x 2,Perkalian,52,55,54,48,52
6,51 : 3,Pembagian Habis,21,17,18,18,17
6,98 : 7,Pembagian Habis,13,16,11,14,14
6,79 : 5,Pembagian Sisa,14 sisa 3,16 sisa 1,17 sisa 1,15 sisa 4,15 sisa 4
6,41 : 6,Pembagian Sisa,8 sisa 5,6 sisa 5,7 sisa 1,7 sisa 2,6 sisa 5
